feature,mean_abs_shap
MinAbsEStateIndex,0.8823461
VSA_EState3,0.7243636
ETA_shape_x,0.5807133
ATSC2p,0.50395036
n5aHRing,0.4809551
XH_strength,0.46502554
PEOE_VSA6,0.45542997
AATSC1v,0.36555058
ATSC4s,0.33132368
AATS0Z,0.32222563
ATSC5Z,0.2861906
ATSC5s,0.27249092
NaasN,0.25691617
ATSC6i,0.23796271
VSA_EState7,0.23254699
ATSC4c,0.2287296
EState_VSA1,0.21754554
MATS2s,0.19761704
ATSC4i,0.18571687
ATSC8are,0.1644759
VR1_A,0.16396272
MATS1s,0.16081415
AATSC2are,0.15787266
ATSC3Z,0.15730757
VSA_EState8,0.1547991
SlogP_VSA3,0.1485718
ATSC7c,0.13853131
fr_aniline,0.13651817
AATSC1are,0.13020496
ATSC4Z,0.1289624
ATSC6dv,0.1180181
ATSC7are,0.09575494
AATSC2d,0.09517794
ATSC3i,0.09128836
ATSC7d,0.089468785
ATSC7p,0.087326415
MATS2i,0.08091338
Ipc,0.080791876
ATSC3are,0.066005334
EState_VSA5,0.05118343
JGI7,0.049817722
ATSC5v,0.043299418
VSA_EState5,0.037279706
PEOE_VSA11,0.03597926
EState_VSA2,0.013329218
